"County","Distance to Nearest Primary Commercial Airport (mi.)","Average Travel Time to Work (Minutes)","Workers Commuting Into the County","Workers Commuting Out of the County","Net Workers Commuting Into/Out of the County","Residents Who Work in Own County","Percentage of Employed Residents Who Work in Own County (%)","Percentage of County Jobs Held by Residents (%)","Percentage of County Jobs Held by Non-Residents (%)"
"Allegany County","139.3","21.3","8184","4209","3975","23978","85.1","74.6","25.4"
"Anne Arundel County","23.2","30.7","116296","123778","-7482","175812","58.7","60.2","39.8"
"Baltimore City","9.8","31","212952","104793","108159","169686","61.8","44.3","55.7"
"Baltimore County","17.8","29.6","152886","204754","-51868","206648","50.2","57.5","42.5"
"Calvert County","55.7","41.7","5815","27523","-21708","18397","40.1","76","24"
"Caroline County","64.9","32.9","3912","9751","-5839","5959","37.9","60.4","39.6"
"Carroll County","36.9","35.9","17886","47247","-29361","39234","45.4","68.7","31.3"
"Cecil County","41.7","29.6","11442","26237","-14795","23506","47.3","67.3","32.7"
"Charles County","33.9","44.4","15621","48940","-33319","30775","38.6","66.3","33.7"
"Dorchester County","80.1","27","3545","6115","-2570","8733","58.8","71.1","28.9"
"Frederick County","50.8","35.2","33703","54475","-20772","75456","58.1","69.1","30.9"
"Garrett County","139.8","24.5","2972","3370","-398","10061","74.9","77.2","22.8"
"Harford County","40.2","31.8","30104","56573","-26469","71872","56","70.5","29.5"
"Howard County","10.5","31.3","93213","97804","-4591","70053","41.7","42.9","57.1"
"Kent County","68.9","26.4","3373","2805","568","6200","68.9","64.8","35.2"
"Montgomery County","23.6","34.6","185003","212862","-27859","335652","61.2","64.5","35.5"
"Prince George's County","20.6","37","160034","285166","-125132","188339","39.8","54.1","45.9"
"Queen Anne's County","51.4","37","6056","14745","-8689","10304","41.1","63","37"
"St. Mary's County","64.1","30.9","9925","14440","-4515","41454","74.2","80.7","19.3"
"Somerset County","121.6","24.8","2747","4219","-1472","4225","50","60.6","39.4"
"Talbot County","61.2","28.1","9673","5641","4032","12065","68.1","55.5","44.5"
"Washington County","75.7","29.7","24617","22773","1844","43334","65.6","63.8","36.2"
"Wicomico County","108.7","22","13173","12363","810","36035","74.5","73.2","26.8"
"Worcester County","126.7","25.1","9616","6932","2684","16674","70.6","63.4","36.6"
"Source","Maryland Department of Commerce","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau","U.S. Census Bureau"
"Date of Data","Date of Data: 2010","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018","Date of Data: 2014-2018"
"Note","Distance from county seat to the nearest primary hub airport, as defined by the Federal Aviation Administration.",,,,"Difference between the number of residents commuting out and non-residents commuting into the county to work. Negative number reflects more residents commuting out than non-residents commuting in. Does not include county residents who work in the county.",,,,
"Quote",,,,,,,,,
